ISO,Duration,Type,bpm-Avg.,bpm-%,bpm-hi,Cals,Cals/h,km,km/h,/km,Date,weeknum,mDuration
2023-07-24 14:59:38+00:00,1.2094444444444445,Cycling,135.6,70.8,188.0,277.1,229.1,17.31,14.3,0 days 00:04:11,2023-07-24,30,72.56666666666668
2023-07-25 17:38:31+00:00,2.281111111111111,Cycling,143.6,74.9,182.0,661.4,290.0,35.16,15.4,0 days 00:03:53,2023-07-25,30,136.86666666666667
2023-07-31 18:54:55+00:00,1.3055555555555556,Cycling,134.9,70.4,159.0,579.7,444.0,24.8,19.0,0 days 00:03:09,2023-07-31,31,78.33333333333333
2023-08-01 20:04:41+00:00,1.6836111111111112,Cycling,147.1,76.8,181.0,828.8,492.2,35.03,20.8,0 days 00:02:53,2023-08-01,31,101.01666666666667
2023-08-16 14:27:13+00:00,1.6077777777777778,Cycling,140.9,73.6,185.0,713.8,443.9,31.5,19.6,0 days 00:03:03,2023-08-16,33,96.46666666666667
2023-09-16 16:52:16+00:00,1.1608333333333334,Cycling,148.9,77.7,186.0,553.9,477.2,25.3,21.8,0 days 00:02:45,2023-09-16,37,69.65
2023-09-20 16:31:46+00:00,1.7725,Cycling,153.8,80.3,185.0,1012.0,570.9,37.65,21.2,0 days 00:02:49,2023-09-20,38,106.35
2023-09-23 15:43:48+00:00,1.6147222222222222,Cycling,159.0,83.0,184.0,882.9,546.7,34.74,21.5,0 days 00:02:47,2023-09-23,38,96.88333333333333
2023-09-27 19:10:22+00:00,1.606111111111111,Cycling,144.6,75.5,177.0,831.8,517.9,32.89,20.5,0 days 00:02:55,2023-09-27,39,96.36666666666666
2023-09-28 16:37:41+00:00,1.4372222222222222,Cycling,142.7,74.5,180.0,398.9,277.5,18.21,12.7,0 days 00:04:44,2023-09-28,39,86.23333333333333
2023-11-16 19:02:52+00:00,2.6675,Cycling,148.1,77.3,169.5,620.2,232.5,21.34,8.0,0 days 00:07:30,2023-11-16,46,160.05
2023-11-18 18:12:11+00:00,1.38,Cycling,127.2,66.4,146.5,327.0,236.9,18.52,13.4,0 days 00:04:28,2023-11-18,46,82.8
2024-05-18 17:37:52+00:00,2.917222222222222,Cycling,107.9,56.3,166.0,341.8,117.2,22.69,7.8,0 days 00:07:42,2024-05-18,20,175.03333333333333
